Feature,Model,Train_Accuracy,Accuracy,Precision,Recall,F1,ROC_AUC,CV_F1,Vocab_Size,Sparsity,Training_Time,Inference_Time,Model_Size_MB
bow,logreg,0.95,0.87275,0.861151427189163,0.8891108891108891,0.8749078397640698,0.9412686912686914,0.8686881299279168,5000,0.977235825,1.00807523727417,0.0014641284942626953,0.03898143768310547
bow,svm,0.9836875,0.8495,0.8394762366634335,0.8646353646353646,0.8518700787401575,,0.8443233095248704,5000,0.977235825,0.953810453414917,0.0012378692626953125,0.03884410858154297
bow,nb,0.845,0.8205,0.8275510204081633,0.8101898101898102,0.8187783947501261,0.9006177756177757,0.8246770871536366,5000,0.977235825,0.0055866241455078125,0.0016095638275146484,0.15334224700927734
bow,rf,1.0,0.84025,0.8265452803066603,0.8616383616383616,0.8437270726338958,0.9203249203249204,0.8450693377421817,5000,0.977235825,112.38842415809631,0.9666199684143066,91.93967533111572
tfidf_uni,logreg,0.9156875,0.876,0.8627167630057804,0.8946053946053946,0.8783717508582638,0.9494159494159494,0.8756550336585736,5000,0.977235825,0.7498517036437988,0.0032050609588623047,0.03896617889404297
tfidf_uni,svm,0.917875,0.8785,0.8647738209817132,0.8976023976023976,0.8808823529411764,,0.8777011856932662,5000,0.977235825,0.4459683895111084,0.0023796558380126953,0.03884410858154297
tfidf_uni,nb,0.86975,0.84475,0.8386463952918097,0.8541458541458542,0.8463251670378619,0.9257941757941759,0.8462061796071163,5000,0.977235825,0.017363309860229492,0.003999233245849609,0.15334224700927734
tfidf_uni,rf,1.0,0.83975,0.8350566223535204,0.8471528471528471,0.8410612447309695,0.9195541695541696,0.8443581952884273,5000,0.977235825,50.639317989349365,0.25090861320495605,74.90110111236572
tfidf_uni_bi,logreg,0.91725,0.88075,0.8660585693710994,0.9010989010989011,0.8832313341493268,0.9517374517374517,0.8743286813716331,5000,0.968914275,0.3376891613006592,0.0010747909545898438,0.03896617889404297
tfidf_uni_bi,svm,0.9180625,0.883,0.86875,0.9025974025974026,0.8853503184713376,,0.8758767899476592,5000,0.968914275,0.27347421646118164,0.0010716915130615234,0.03884410858154297
tfidf_uni_bi,nb,0.869,0.854,0.8421814671814671,0.8716283716283716,0.8566519391261659,0.931922431922432,0.8563263201219732,5000,0.968914275,0.008633136749267578,0.0017321109771728516,0.15334224700927734
tfidf_uni_bi,rf,1.0,0.8405,0.8346418056918548,0.8496503496503497,0.842079207920792,0.9226591726591726,0.8437367867570478,5000,0.968914275,155.9512779712677,1.1299798488616943,64.68503665924072
char_ngrams,logreg,0.9465,0.868,0.8584630350194552,0.8816183816183816,0.869886643666831,0.9443271943271943,0.8695180468542756,10000,0.8368173624999999,4.936127662658691,0.008656501770019531,0.07711315155029297
char_ngrams,svm,0.9476875,0.868,0.8563829787234043,0.8846153846153846,0.8702702702702703,,0.8691956037213288,10000,0.8368173624999999,9.932911157608032,0.023631572723388672,0.07699108123779297
char_ngrams,nb,0.825125,0.81275,0.8016369764082811,0.8316683316683317,0.8163765628830596,0.8971921471921471,0.8186032057712873,10000,0.8368173624999999,0.23743581771850586,0.0487971305847168,0.30593013763427734
char_ngrams,rf,1.0,0.82125,0.806282722513089,0.8461538461538461,0.8257372654155496,0.9056185306185307,0.8251480166130174,10000,0.8368173624999999,262.79295206069946,2.260329008102417,44.34949588775635
